,,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4062
,,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4062
,,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4062
,,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.4056
,,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.3958
,,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.2758
,,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.1704
,,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.4994
,,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.435
,,, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.5006
,,, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.5869
,,, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.5258
,,, reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.6338
,,, reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.631
,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4682
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.315
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2429
,,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.2047
,,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.2017
,,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.1938
,,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.21
,,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.1418
,,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.4512
,,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.3262
,,, reverse_iter: ,1, corruption: ,['snow'], severity: 2,batch-size: 16,0.694,0.3554
,,, reverse_iter: ,1, corruption: ,['frost'], severity: 2,batch-size: 16,0.8063,0.4993
,,, reverse_iter: ,1, corruption: ,['fog'], severity: 2,batch-size: 16,0.7252,0.4678
,,, reverse_iter: ,1, corruption: ,['brightness'], severity: 2,batch-size: 16,0.9281,0.6536
,,, reverse_iter: ,1, corruption: ,['contrast'], severity: 2,batch-size: 16,0.8359,0.5584
,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 2,batch-size: 16,0.299,0.4495
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 2,batch-size: 16,0.5264,0.288
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 2,batch-size: 16,0.194,0.2063
,,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 3,batch-size: 16,0.1478,0.1277
,,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 3,batch-size: 16,0.1566,0.1359
,,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 3,batch-size: 16,0.2011,0.1449
,,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 3,batch-size: 16,0.1451,0.1708
,,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 3,batch-size: 16,0.1127,0.1286
,,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 3,batch-size: 16,0.7256,0.4282
,,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 3,batch-size: 16,0.2289,0.2386
,,, reverse_iter: ,1, corruption: ,['snow'], severity: 3,batch-size: 16,0.7763,0.4262
,,, reverse_iter: ,1, corruption: ,['frost'], severity: 3,batch-size: 16,0.709,0.426
,,, reverse_iter: ,1, corruption: ,['fog'], severity: 3,batch-size: 16,0.4007,0.291
,,, reverse_iter: ,1, corruption: ,['brightness'], severity: 3,batch-size: 16,0.907,0.6363
,,, reverse_iter: ,1, corruption: ,['contrast'], severity: 3,batch-size: 16,0.6852,0.4122
,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 3,batch-size: 16,0.2184,0.3255
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 3,batch-size: 16,0.474,0.281
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 3,batch-size: 16,0.1581,0.1892
,,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 4,batch-size: 16,0.1223,0.1143
,,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 4,batch-size: 16,0.131,0.1172
,,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 4,batch-size: 16,0.1368,0.1176
,,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 4,batch-size: 16,0.1393,0.1539
,,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 4,batch-size: 16,0.1207,0.1188
,,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 4,batch-size: 16,0.6441,0.3886
,,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 4,batch-size: 16,0.1858,0.1957
,,, reverse_iter: ,1, corruption: ,['snow'], severity: 4,batch-size: 16,0.6694,0.3826
,,, reverse_iter: ,1, corruption: ,['frost'], severity: 4,batch-size: 16,0.7025,0.4192
,,, reverse_iter: ,1, corruption: ,['fog'], severity: 4,batch-size: 16,0.2001,0.2146
,,, reverse_iter: ,1, corruption: ,['brightness'], severity: 4,batch-size: 16,0.8728,0.5919
,,, reverse_iter: ,1, corruption: ,['contrast'], severity: 4,batch-size: 16,0.3312,0.2135
,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 4,batch-size: 16,0.1496,0.2518
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 4,batch-size: 16,0.3614,0.2374
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 4,batch-size: 16,0.145,0.1814
,,, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 5,batch-size: 16,0.1157,0.1103
,,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 5,batch-size: 16,0.1252,0.1109
,,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 5,batch-size: 16,0.1216,0.1073
,,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.1202
,,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1098
,,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.3534
,,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.1878
,,, reverse_iter: ,1, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.3326
,,, reverse_iter: ,1, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.3862
,,, reverse_iter: ,1, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.1486
,,, reverse_iter: ,1, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.5357
,,, reverse_iter: ,1, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.1461
,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.2179
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.1995
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.1778
,['l_inf'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.38591269841269843,0.1001984126984127,nan,nan
,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.38591269841269843,0.3898809523809524,nan,nan
,['l_2'],, reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.3908,nan,nan
