['l_2'],['sharpness'], reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.5972
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.543
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.5554
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.693
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.432
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.5079
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.7556
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.8745
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9108
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8275
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8245
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8647
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.8967
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2964
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.5166
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.5554
