['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.7827
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.7727
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.7797
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 1,batch-size: 16,0.3863,0.7581
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.7764
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.7042
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.5796
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.8057
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.8796
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 1,batch-size: 16,0.9438,0.9082
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8477
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8677
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.8645
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 1,batch-size: 16,0.8972,0.8958
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.4978
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.7705
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.6497
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 2,batch-size: 16,0.214,0.6543
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 2,batch-size: 16,0.2193,0.642
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 2,batch-size: 16,0.3338,0.6564
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 2,batch-size: 16,0.1236,0.529
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 2,batch-size: 16,0.1683,0.4591
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 2,batch-size: 16,0.3397,0.6804
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 2,batch-size: 16,0.7748,0.86
