sharpness,corruption: gaussian_noise, severity: 1,batch-size: 16,52.84,52.24
sharpness,corruption: shot_noise, severity: 1,batch-size: 16,51.18,51.38
sharpness,corruption: impulse_noise, severity: 1,batch-size: 16,46.3,46.94
sharpness,corruption: glass_blur, severity: 1,batch-size: 16,48.46,48.8
sharpness,corruption: defocus_blur, severity: 1,batch-size: 16,50.56,50.36
sharpness,corruption: zoom_blur, severity: 1,batch-size: 16,41.96,41.92
sharpness,corruption: motion_blur, severity: 1,batch-size: 16,54.24,54.08
sharpness,corruption: brightness, severity: 1,batch-size: 16,60.2,60.04
sharpness,corruption: snow, severity: 1,batch-size: 16,44.12,44.36
sharpness,corruption: frost, severity: 1,batch-size: 16,49.74,49.56
sharpness,corruption: fog, severity: 1,batch-size: 16,53.64,53.1
fixed3,sharpness,corruption: contrast, severity: 1,batch-size: 16,55.78,55.42
fixed3,sharpness,corruption: pixelate, severity: 1,batch-size: 16,55.84,56.26
fixed3,sharpness,corruption: jpeg_compression, severity: 1,batch-size: 16,55.36,55.02
fixed3,sharpness,corruption: elastic_transform, severity: 1,batch-size: 16,54.68,54.12
fixed3,sharpness,corruption: gaussian_noise, severity: 2,batch-size: 16,46.28,45.76
fixed3,sharpness,corruption: shot_noise, severity: 2,batch-size: 16,43.3,44.52
fixed3,sharpness,corruption: impulse_noise, severity: 2,batch-size: 16,39.66,40.5
fixed3,sharpness,corruption: glass_blur, severity: 2,batch-size: 16,39.36,40.14
fixed3,sharpness,corruption: defocus_blur, severity: 2,batch-size: 16,45.58,45.3
fixed3,sharpness,corruption: zoom_blur, severity: 2,batch-size: 16,35.46,35.38
fixed3,sharpness,corruption: motion_blur, severity: 2,batch-size: 16,47.84,47.56
fixed3,sharpness,corruption: brightness, severity: 2,batch-size: 16,58.72,58.46
fixed3,sharpness,corruption: snow, severity: 2,batch-size: 16,32.46,32.56
fixed3,sharpness,corruption: frost, severity: 2,batch-size: 16,38.48,38.92
fixed3,sharpness,corruption: fog, severity: 2,batch-size: 16,51.14,50.54
fixed3,sharpness,corruption: contrast, severity: 2,batch-size: 16,53.08,52.78
fixed3,sharpness,corruption: pixelate, severity: 2,batch-size: 16,54.24,54.98
fixed3,sharpness,corruption: jpeg_compression, severity: 2,batch-size: 16,52.16,52.64
fixed3,sharpness,corruption: elastic_transform, severity: 2,batch-size: 16,36.86,36.34
fixed3,sharpness,corruption: gaussian_noise, severity: 3,batch-size: 16,35.38,35.74
fixed3,sharpness,corruption: shot_noise, severity: 3,batch-size: 16,33.9,34.88
fixed3,sharpness,corruption: impulse_noise, severity: 3,batch-size: 16,34.44,35.7
fixed3,sharpness,corruption: glass_blur, severity: 3,batch-size: 16,18.78,19.28
fixed3,sharpness,corruption: brightness, severity: 3,batch-size: 16,56.18,55.98
fixed3,sharpness,corruption: snow, severity: 3,batch-size: 16,32.44,32.3
fixed3,sharpness,corruption: frost, severity: 3,batch-size: 16,31.34,31.44
fixed3,sharpness,corruption: fog, severity: 3,batch-size: 16,46.06,45.42
fixed3,sharpness,corruption: contrast, severity: 3,batch-size: 16,48.96,48.96
fixed3,sharpness,corruption: pixelate, severity: 3,batch-size: 16,46.36,48.46
fixed3,sharpness,corruption: jpeg_compression, severity: 3,batch-size: 16,48.96,49.56
fixed3,sharpness,corruption: elastic_transform, severity: 3,batch-size: 16,49.24,49.0
fixed3,sharpness,corruption: gaussian_noise, severity: 4,batch-size: 16,23.34,24.56
fixed3,sharpness,corruption: shot_noise, severity: 4,batch-size: 16,19.04,20.32
fixed3,sharpness,corruption: impulse_noise, severity: 4,batch-size: 16,22.02,23.06
fixed3,sharpness,corruption: glass_blur, severity: 4,batch-size: 16,13.14,13.34
fixed3,sharpness,corruption: defocus_blur, severity: 4,batch-size: 16,29.54,29.1
fixed3,sharpness,corruption: zoom_blur, severity: 4,batch-size: 16,25.32,25.02
fixed3,sharpness,corruption: motion_blur, severity: 4,batch-size: 16,26.14,25.9
fixed3,sharpness,corruption: brightness, severity: 4,batch-size: 16,52.84,52.68
fixed3,sharpness,corruption: snow, severity: 4,batch-size: 16,25.9,25.32
fixed3,sharpness,corruption: frost, severity: 4,batch-size: 16,29.7,29.68
fixed3,sharpness,corruption: fog, severity: 4,batch-size: 16,40.38,39.7
fixed3,sharpness,corruption: contrast, severity: 4,batch-size: 16,33.52,32.96
fixed3,sharpness,corruption: pixelate, severity: 4,batch-size: 16,37.14,38.52
fixed3,sharpness,corruption: jpeg_compression, severity: 4,batch-size: 16,40.42,41.28
fixed3,sharpness,corruption: elastic_transform, severity: 4,batch-size: 16,39.42,39.26
fixed3,sharpness,corruption: gaussian_noise, severity: 5,batch-size: 16,10.42,11.16
fixed3,sharpness,corruption: shot_noise, severity: 5,batch-size: 16,10.92,11.52
fixed3,sharpness,corruption: impulse_noise, severity: 5,batch-size: 16,10.84,11.16
fixed3,sharpness,corruption: glass_blur, severity: 5,batch-size: 16,9.52,9.96
fixed3,sharpness,corruption: defocus_blur, severity: 5,batch-size: 16,22.36,22.22
fixed3,sharpness,corruption: zoom_blur, severity: 5,batch-size: 16,20.8,20.52
fixed3,sharpness,corruption: motion_blur, severity: 5,batch-size: 16,19.32,19.44
fixed3,sharpness,corruption: brightness, severity: 5,batch-size: 16,49.1,49.04
fixed3,sharpness,corruption: snow, severity: 5,batch-size: 16,23.24,23.04
fixed3,sharpness,corruption: frost, severity: 5,batch-size: 16,25.18,25.1
fixed3,sharpness,corruption: fog, severity: 5,batch-size: 16,28.7,27.58
fixed3,sharpness,corruption: contrast, severity: 5,batch-size: 16,13.08,12.18
fixed3,sharpness,corruption: pixelate, severity: 5,batch-size: 16,33.08,33.58
fixed3,sharpness,corruption: jpeg_compression, severity: 5,batch-size: 16,29.74,30.72
fixed3,sharpness,corruption: elastic_transform, severity: 5,batch-size: 16,16.9,16.96
